Region,League,Year,Dataset,Team,Player,Pos,GP,WAR,WAR_per_game,CPS,proj_WAR,proj_effective_gp,proj_hist_gp_used,cross_region_first,shrinkage_target_used,DMG_DTH_ratio,z_DMG_GOLD_ratio,z_neg_DTH,z_KS_pct,z_WCPM_type3,z_CWPM_type3,z_GOLD%,z_CS%P15,z_CSD10,z_GD10,z_TDPG_share_oe,z_KP,z_WPM_net
Korea,LCK,2023,full year (per-game derived),KT Rolster,Kiin,Top,113,30.274,0.2679,0.624826903139838,25.988,722.8,0,False,10.645,1.259029495490376,0.6578918827045328,,,,,,,,0.8919581334315102,-0.0223787667182914,,
Korea,LCK,2023,full year (per-game derived),Gen.G,Doran,Top,109,29.526,0.2709,0.6025316274562585,25.286,702.8,0,False,10.645,0.922529191322491,-0.000157303704959,,,,,,,,0.7288052944590933,1.4095696361402137,,
Korea,LCK,2023,full year (per-game derived),T1,Zeus,Top,120,26.487,0.2207,0.5119906987926852,23.187,757.8,0,False,10.645,1.1106453921147483,-0.2285262880436395,,,,,,,,1.288256835824504,0.1371357736280681,,
Korea,LCK,2023,full year (per-game derived),DN SOOPers,DuDu,Top,83,22.91,0.276,0.4054191943131052,19.53,572.8,0,False,10.645,1.3042306721707668,-0.2959316270997224,,,,,,,,0.5286276235170914,1.3967921286074254,,
Korea,LCK,2023,full year (per-game derived),Liiv SANDBOX,Clear,Top,17,14.28,0.84,0.1482922265621529,11.917,242.8,0,False,10.645,1.2314250912397924,1.9110983020177967,,,,,,,,-0.6709709563408697,-1.222379706871356,,
Korea,LCK,2023,full year (per-game derived),Hanwha Life Esports,Kingen,Top,107,13.591,0.127,0.1277873116235615,12.92,692.8,0,False,10.645,1.1499638029759147,-0.2746644103211991,,,,,,,,0.0397563964540215,1.0458684244971184,,
Korea,LCK,2023,full year (per-game derived),Dplus Kia,Canna,Top,88,7.698,0.0875,-0.0477984899308741,8.476,597.8,0,False,10.645,1.032203038618865,-0.7581528448578172,,,,,,,,0.4795076859397714,0.070765762022203,,
Korea,LCK,2023,full year (per-game derived),HANJIN BRION,Morgan,Top,89,5.171,0.0581,-0.1230859369535943,6.604,602.8,0,False,10.645,1.1662086626740915,-0.1367100464916128,,,,,,,,-0.3940346036353985,0.4975245269148082,,
Korea,LCK,2023,full year (per-game derived),KT Rolster,PerfecT,Top,1,-4.714,-4.714,-0.4175782618521446,10.173,162.8,0,False,10.645,,-1.958952105731825,,,,,,,,1.0016642612525204,-0.7654388936989819,,
Korea,LCK,2023,full year (per-game derived),DRX,Rascal,Top,90,-5.171,-0.0575,-0.431192721109261,-1.064,607.8,0,False,10.645,1.1004210368802656,-0.5081247151746064,,,,,,,,-0.5855561723400754,0.0468844609161523,,
Korea,LCK,2023,full year (per-game derived),Nongshim RedForce,DnDn,Top,85,-12.162,-0.1431,-0.6394768562590496,-5.986,582.8,0,False,10.645,1.165295434370528,1.405571262612976,,,,,,,,-1.8534313224838872,-1.6498636445340529,,
Korea,LCK,2023,full year (per-game derived),Liiv SANDBOX,Burdol,Top,74,-16.265,-0.2198,-0.761715695782684,-8.218,527.8,0,False,10.645,1.16182304734795,0.1866578940900597,,,,,,,,-1.4545831760782817,-0.9444797009033084,,
Korea,LCK,2023,full year (per-game derived),KT Rolster,HamBak,Jungle,1,48.036,48.036,0.9774558896403552,22.426,162.8,0,False,21.615,,2.4365754233228465,3.0811536582766124,,,,0.0287474809525976,,-1.6366530039906355,,,,
Korea,LCK,2023,full year (per-game derived),T1,Oner,Jungle,120,29.054,0.2421,0.4119372138990417,27.505,757.8,0,False,21.615,0.7374804148638233,0.1017613904141741,-0.1982102118151386,,,,1.3278672502384166,,0.416330426758715,,,,
Korea,LCK,2023,full year (per-game derived),KT Rolster,Cuzz,Jungle,113,27.347,0.242,0.3610679355674432,26.095,722.8,0,False,21.615,0.7475565535850899,1.1639434628573193,-0.3577278139305367,,,,-0.0305659485478549,,0.6686220418908452,,,,
Korea,LCK,2023,full year (per-game derived),Liiv SANDBOX,Willer,Jungle,91,25.782,0.2833,0.314443301041918,24.709,612.8,0,False,21.615,0.7369738982233576,-1.2058200308801692,0.2505606341457337,,,,0.5876033788281695,,1.6254292220739377,,,,
Korea,LCK,2023,full year (per-game derived),DN SOOPers,YoungJae,Jungle,83,24.709,0.2977,0.2824860192161107,23.856,572.8,0,False,21.615,0.7836294370167971,-0.897116523185275,0.4320798231563421,,,,0.2194602421189725,,1.3755205347744033,,,,
Korea,LCK,2023,full year (per-game derived),HANJIN BRION,UmTi,Jungle,89,24.372,0.2738,0.2724534946463346,23.65,602.8,0,False,21.615,0.7459730801207293,0.9190700929733032,-0.3656797619786393,,,,0.9283500797677564,,-0.3919264321770817,,,,
Korea,LCK,2023,full year (per-game derived),Dplus Kia,Canyon,Jungle,88,21.615,0.2456,0.1903124926043033,21.615,597.8,0,False,21.615,0.7000171744501994,-0.7680787980394653,-0.1478242188007866,,,,1.1329531158242403,,0.5441998714332253,,,,
Korea,LCK,2023,full year (per-game derived),Gen.G,Peanut,Jungle,109,16.588,0.1522,0.0405336909066846,17.717,702.8,0,False,21.615,0.6979279376109713,-0.4827741210853685,-0.1941577632444864,,,,0.2996635089704922,,0.5394031389861014,,,,
